hand_raise,resource_visits,announcement_views,discussion_posts,free_time,study_time,absences,final_grade,learning_style,total_actions,video_actions,audio_actions,text_actions,platform,typing_speed_wpm,keystroke_delay,error_rate,page_transitions,backtrack_count,scroll_depth,avg_sentence_length,response_time_sec,vocab_richness,video_watch_ratio,audio_play_ratio,image_click_ratio
,,,,,,,,,4658.0,86.0,1422.0,1401.0,web,33,0.11,0.1,8,0,0.31,6,120,0.6,0.13,0.79,0.16
,,,,,,,,,4006.0,128.0,1159.0,1111.0,mobile,34,0.26,0.13,17,7,0.55,11,117,0.8,0.22,0.16,0.13
,,,,,,,,,29.0,0.0,0.0,20.0,mobile,50,0.38,0.12,22,4,0.32,8,44,0.55,0.26,0.11,0.61
,,,,,,,,,915.0,0.0,201.0,317.0,mobile,20,0.18,0.03,1,1,0.92,23,102,0.3,0.87,0.5,0.8
,,,,,,,,,2343.0,0.0,440.0,796.0,mobile,72,0.36,0.04,6,7,0.84,12,109,0.71,0.71,0.59,0.78
,,,,,,,,,805.0,0.0,78.0,290.0,mobile,73,0.2,0.11,7,4,0.26,17,168,0.78,0.55,0.1,0.54
,,,,,,,,,4385.0,0.0,429.0,1543.0,mobile,73,0.45,0.01,15,9,0.4,7,105,0.84,0.02,0.3,0.64
,,,,,,,,,7967.0,30.0,2495.0,2032.0,mobile,22,0.46,0.12,18,9,0.86,9,93,0.64,0.82,0.41,0.26
,,,,,,,,,16675.0,25.0,4937.0,4750.0,mobile,35,0.22,0.11,9,2,0.84,24,159,0.37,0.55,0.94,0.55
,,,,,,,,,623.0,18.0,172.0,132.0,mobile,42,0.19,0.11,8,6,0.96,12,76,0.52,0.63,0.25,0.21
,,,,,,,,,895.0,3.0,165.0,312.0,web,76,0.26,0.02,10,3,1.0,6,145,0.77,0.07,0.26,0.93
,,,,,,,,,811.0,4.0,138.0,292.0,mobile,30,0.2,0.11,4,9,0.98,14,28,0.6,0.81,0.66,0.68
,,,,,,,,,577.0,20.0,146.0,140.0,mobile,31,0.37,0.1,20,5,0.53,20,40,0.72,0.83,0.73,0.56
,,,,,,,,,3541.0,76.0,52.0,1440.0,mobile,29,0.43,0.12,8,9,0.4,8,41,0.3,0.88,0.01,0.25
,,,,,,,,,829.0,20.0,84.0,306.0,web,51,0.37,0.01,1,7,0.81,18,64,0.34,0.53,0.13,0.41
,,,,,,,,,1505.0,16.0,465.0,445.0,web,35,0.43,0.0,8,0,0.44,7,112,0.71,0.39,0.36,0.78
,,,,,,,,,2631.0,461.0,2.0,726.0,mobile,27,0.26,0.06,23,1,0.85,14,168,0.47,0.07,0.63,0.24
,,,,,,,,,7.0,0.0,2.0,0.0,web,57,0.16,0.02,12,7,0.63,17,60,0.53,0.19,0.13,0.13
,,,,,,,,,20.0,0.0,2.0,12.0,mobile,31,0.4,0.08,23,6,0.84,9,131,0.69,0.23,0.36,0.31
,,,,,,,,,238.0,8.0,0.0,93.0,web,43,0.24,0.14,15,9,0.42,21,101,0.37,0.06,0.08,0.79
,,,,,,,,,4076.0,72.0,310.0,1641.0,mobile,47,0.37,0.06,13,8,0.61,21,164,0.8,0.15,0.57,0.88
,,,,,,,,,21.0,0.0,2.0,12.0,web,72,0.21,0.13,16,1,0.65,15,119,0.39,0.89,0.43,0.41
,,,,,,,,,11.0,0.0,0.0,8.0,mobile,27,0.13,0.0,23,7,0.95,23,52,0.74,0.55,0.79,0.78
,,,,,,,,,460.0,2.0,92.0,148.0,web,77,0.5,0.03,18,5,0.41,22,84,0.48,0.76,0.57,0.33
,,,,,,,,,2772.0,4.0,482.0,1008.0,mobile,47,0.16,0.0,1,0,0.95,21,80,0.46,0.28,0.66,0.51
,,,,,,,,,9503.0,58.0,1856.0,3110.0,mobile,55,0.5,0.05,17,3,0.84,15,81,0.79,0.13,0.67,0.02
,,,,,,,,,774.0,16.0,138.0,258.0,mobile,45,0.49,0.14,16,1,0.78,19,112,0.63,0.37,0.59,0.71
,,,,,,,,,2207.0,18.0,0.0,1005.0,web,27,0.42,0.01,23,6,0.83,12,50,0.42,0.79,0.02,0.72
,,,,,,,,,883.0,14.0,336.0,201.0,mobile,77,0.36,0.09,5,8,0.68,16,87,0.3,0.3,0.83,0.1
,,,,,,,,,2919.0,84.0,500.0,1019.0,mobile,79,0.33,0.07,20,5,0.4,21,33,0.88,0.2,0.92,0.36
,,,,,,,,,46.0,4.0,2.0,20.0,mobile,69,0.45,0.14,21,3,0.35,9,39,0.56,0.02,0.53,0.48
,,,,,,,,,4806.0,14.0,2897.0,522.0,mobile,47,0.22,0.02,10,4,0.89,8,61,0.54,0.62,0.11,0.77
,,,,,,,,,107.0,0.0,14.0,54.0,mobile,47,0.29,0.03,6,0,0.78,15,66,0.33,0.44,0.65,0.82
,,,,,,,,,37.0,0.0,6.0,22.0,mobile,56,0.35,0.0,12,3,0.37,12,88,0.84,0.26,0.36,0.72
,,,,,,,,,2968.0,6.0,509.0,1361.0,web,60,0.26,0.07,10,9,0.69,20,126,0.38,0.52,0.07,0.22
,,,,,,,,,1662.0,22.0,375.0,523.0,web,55,0.27,0.04,22,2,0.56,20,40,0.5,0.7,0.85,0.36
,,,,,,,,,14387.0,651.0,690.0,5139.0,web,46,0.23,0.13,17,8,0.33,7,85,0.55,0.25,0.71,0.25
,,,,,,,,,22549.0,10.0,3521.0,7550.0,mobile,73,0.33,0.09,2,5,0.63,16,39,0.79,0.61,0.8,0.64
,,,,,,,,,1016.0,0.0,302.0,299.0,mobile,36,0.44,0.09,19,3,0.43,17,122,0.52,0.26,0.8,0.65
,,,,,,,,,192.0,0.0,32.0,77.0,web,28,0.18,0.08,20,2,0.28,5,147,0.62,0.99,0.36,0.02
,,,,,,,,,738.0,12.0,218.0,198.0,mobile,52,0.47,0.01,6,3,0.57,8,143,0.56,0.73,0.48,0.73
,,,,,,,,,22.0,0.0,0.0,15.0,mobile,72,0.38,0.07,13,7,0.67,10,164,0.49,0.6,0.23,0.23
,,,,,,,,,37.0,0.0,2.0,24.0,mobile,39,0.43,0.15,9,4,0.24,9,29,0.87,0.17,0.75,0.8
,,,,,,,,,57.0,0.0,2.0,24.0,web,32,0.32,0.13,12,0,0.52,9,29,0.78,0.59,0.52,0.83
,,,,,,,,,31.0,0.0,0.0,20.0,web,47,0.41,0.13,18,4,0.41,14,21,0.4,0.8,0.65,0.8
,,,,,,,,,2587.0,26.0,142.0,991.0,mobile,67,0.11,0.12,8,7,0.22,23,94,0.63,0.74,0.36,0.41
,,,,,,,,,645.0,20.0,304.0,68.0,mobile,48,0.43,0.02,18,3,0.3,22,58,0.78,0.78,0.68,0.35
,,,,,,,,,123.0,0.0,13.0,51.0,web,32,0.12,0.03,23,1,0.31,6,19,0.65,0.32,0.67,0.44
,,,,,,,,,1553.0,0.0,216.0,709.0,web,65,0.46,0.0,22,2,0.35,20,14,0.6,0.33,0.77,0.53
,,,,,,,,,28.0,0.0,8.0,12.0,web,54,0.5,0.05,2,8,0.84,19,73,0.34,0.54,0.16,0.25
,,,,,,,,,2029.0,197.0,336.0,666.0,web,25,0.22,0.02,8,6,0.55,9,145,0.36,0.28,0.62,0.93
,,,,,,,,,1109.0,2.0,362.0,298.0,mobile,37,0.18,0.07,10,2,0.32,13,167,0.45,0.11,0.88,0.5
,,,,,,,,,28.0,2.0,0.0,17.0,mobile,70,0.41,0.1,9,4,0.28,9,26,0.61,0.46,0.09,0.07
,,,,,,,,,60.0,6.0,8.0,23.0,mobile,24,0.2,0.13,24,2,0.44,9,76,0.89,0.0,0.96,1.0
,,,,,,,,,10457.0,290.0,2266.0,2912.0,web,66,0.45,0.11,18,9,0.84,13,30,0.78,0.76,0.21,0.48
,,,,,,,,,12358.0,408.0,6497.0,2076.0,mobile,44,0.14,0.14,8,3,0.49,13,25,0.37,0.75,0.94,0.95
,,,,,,,,,580.0,0.0,0.0,163.0,web,21,0.15,0.01,19,7,0.33,6,36,0.73,0.55,0.87,0.39
,,,,,,,,,1080.0,8.0,333.0,333.0,web,29,0.49,0.0,3,2,0.52,11,124,0.79,0.75,0.77,0.22
,,,,,,,,,52.0,4.0,12.0,22.0,mobile,75,0.37,0.1,9,2,0.64,5,15,0.55,0.62,0.21,0.74
,,,,,,,,,26949.0,106.0,14510.0,4505.0,mobile,49,0.44,0.04,13,7,0.22,24,51,0.5,0.7,0.22,0.43
,,,,,,,,,1919.0,30.0,457.0,547.0,mobile,69,0.23,0.04,9,9,0.7,6,153,0.65,0.06,0.26,0.88
,,,,,,,,,136.0,2.0,6.0,58.0,mobile,78,0.37,0.05,20,9,0.52,16,12,0.61,0.88,0.81,0.46
,,,,,,,,,10175.0,24.0,436.0,4137.0,mobile,64,0.34,0.04,12,6,0.21,10,49,0.46,0.64,0.19,0.34
,,,,,,,,,326.0,0.0,70.0,108.0,mobile,24,0.34,0.08,23,6,0.74,24,29,0.54,0.61,0.58,0.97
,,,,,,,,,54.0,0.0,2.0,25.0,mobile,74,0.37,0.07,13,9,0.77,23,16,0.63,0.39,0.78,0.83
,,,,,,,,,12438.0,999.0,518.0,4737.0,web,75,0.33,0.08,8,1,0.7,20,68,0.65,0.03,0.46,0.21
,,,,,,,,,719.0,22.0,148.0,224.0,mobile,52,0.27,0.1,15,6,0.47,8,148,0.62,0.9,0.84,0.49
,,,,,,,,,3546.0,6.0,393.0,1281.0,mobile,73,0.21,0.06,13,9,0.62,22,102,0.81,0.99,0.56,0.11
,,,,,,,,,30384.0,776.0,6490.0,9117.0,mobile,20,0.41,0.04,21,9,0.51,9,61,0.32,0.81,0.6,0.11
,,,,,,,,,159.0,73.0,3.0,25.0,web,37,0.19,0.02,13,2,0.76,22,140,0.5,0.92,0.68,0.85
,,,,,,,,,1751.0,4.0,975.0,312.0,mobile,51,0.38,0.05,17,6,0.67,10,30,0.75,0.12,0.85,0.93
,,,,,,,,,31.0,0.0,4.0,19.0,mobile,66,0.19,0.11,15,3,0.27,18,167,0.69,0.13,0.0,0.74
,,,,,,,,,25.0,0.0,0.0,14.0,web,68,0.35,0.11,22,7,0.71,24,20,0.85,0.88,0.39,0.99
,,,,,,,,,3775.0,2.0,1467.0,969.0,mobile,30,0.4,0.1,19,7,0.75,21,162,0.65,0.06,0.96,0.05
,,,,,,,,,34.0,0.0,2.0,14.0,mobile,40,0.19,0.04,3,5,0.5,22,59,0.68,0.09,0.1,0.33
,,,,,,,,,172.0,0.0,24.0,82.0,mobile,45,0.12,0.09,14,2,0.9,14,18,0.72,0.82,0.23,0.13
,,,,,,,,,4385.0,14.0,3448.0,356.0,mobile,44,0.15,0.09,10,5,0.87,23,54,0.41,0.56,0.57,0.78
,,,,,,,,,466.0,44.0,4.0,168.0,web,41,0.34,0.07,17,5,0.34,22,38,0.75,0.39,0.86,0.89
,,,,,,,,,59316.0,483.0,4264.0,23531.0,web,78,0.44,0.08,8,2,0.92,8,71,0.48,0.55,0.1,0.45
,,,,,,,,,25.0,0.0,6.0,13.0,web,46,0.12,0.07,18,3,0.55,24,24,0.55,0.88,0.0,0.83
,,,,,,,,,9534.0,48.0,4511.0,1701.0,mobile,68,0.39,0.08,12,1,0.78,19,28,0.31,0.76,0.69,0.85
,,,,,,,,,37980.0,986.0,9752.0,11162.0,mobile,32,0.24,0.11,17,0,0.85,10,152,0.81,0.69,0.6,0.14
,,,,,,,,,5646.0,279.0,94.0,1957.0,web,52,0.29,0.02,23,1,0.6,10,176,0.87,0.98,0.27,0.38
,,,,,,,,,1620.0,46.0,456.0,482.0,mobile,53,0.47,0.11,11,6,0.52,7,44,0.34,0.52,0.96,0.19
,,,,,,,,,1826.0,8.0,982.0,321.0,mobile,60,0.23,0.02,9,9,0.93,13,150,0.68,0.01,0.56,0.67
,,,,,,,,,2777.0,10.0,620.0,854.0,mobile,54,0.29,0.01,22,4,0.38,15,153,0.88,0.43,0.66,0.39
,,,,,,,,,121.0,0.0,41.0,37.0,mobile,20,0.11,0.15,24,8,0.41,9,76,0.66,0.1,0.38,0.67
,,,,,,,,,789.0,28.0,218.0,224.0,mobile,40,0.13,0.14,24,2,0.49,18,104,0.78,0.12,0.92,0.88
,,,,,,,,,361.0,94.0,48.0,79.0,mobile,67,0.2,0.01,23,1,0.89,6,64,0.37,0.25,0.28,0.41
,,,,,,,,,2263.0,242.0,326.0,633.0,mobile,74,0.11,0.07,15,3,0.95,23,44,0.45,0.38,0.75,0.97
,,,,,,,,,295.0,0.0,20.0,116.0,mobile,25,0.35,0.03,9,1,0.38,12,25,0.51,0.48,0.12,0.41
,,,,,,,,,23.0,0.0,2.0,14.0,mobile,47,0.27,0.07,12,6,0.89,17,138,0.89,0.17,0.54,0.21
,,,,,,,,,35.0,0.0,0.0,25.0,mobile,36,0.32,0.12,11,9,0.41,23,23,0.77,0.31,0.58,0.53
,,,,,,,,,10479.0,78.0,4548.0,2393.0,mobile,24,0.17,0.14,17,5,0.98,9,71,0.83,0.28,0.19,0.4
,,,,,,,,,3947.0,42.0,1024.0,1315.0,mobile,50,0.22,0.1,6,7,0.68,19,144,0.59,0.37,0.32,0.13
,,,,,,,,,40.0,2.0,10.0,16.0,mobile,24,0.37,0.05,8,4,0.21,8,160,0.73,0.11,0.18,0.02
,,,,,,,,,3412.0,687.0,481.0,872.0,web,57,0.49,0.09,10,1,0.23,8,108,0.74,0.4,0.85,0.74
,,,,,,,,,2605.0,2.0,663.0,813.0,mobile,22,0.12,0.05,15,3,0.32,22,38,0.64,0.55,0.66,0.93
,,,,,,,,,268.0,0.0,102.0,62.0,web,72,0.46,0.14,4,0,0.35,23,159,0.83,0.1,0.45,0.44
,,,,,,,,,260.0,0.0,0.0,103.0,web,42,0.33,0.13,18,1,0.81,24,102,0.39,0.52,0.56,0.07
,,,,,,,,,19367.0,191.0,5409.0,6841.0,web,56,0.33,0.08,11,3,0.38,13,15,0.33,0.76,0.34,0.74
,,,,,,,,,805.0,8.0,2.0,297.0,mobile,72,0.3,0.05,9,5,0.98,19,166,0.48,0.01,0.43,0.87
,,,,,,,,,1476.0,14.0,270.0,449.0,mobile,56,0.13,0.04,9,3,0.71,16,98,0.35,0.05,0.62,0.32
,,,,,,,,,60.0,4.0,8.0,26.0,mobile,29,0.14,0.01,8,3,0.75,8,11,0.34,0.47,0.21,0.22
,,,,,,,,,79.0,2.0,0.0,34.0,mobile,29,0.34,0.12,3,9,0.37,7,105,0.55,0.87,0.13,0.34
,,,,,,,,,15347.0,79.0,6021.0,3518.0,mobile,38,0.24,0.07,21,9,0.91,9,45,0.42,1.0,0.94,0.91
,,,,,,,,,2468.0,298.0,74.0,923.0,mobile,36,0.47,0.05,18,1,0.73,21,105,0.77,0.09,0.24,0.42
,,,,,,,,,56028.0,42.0,48708.0,3824.0,web,40,0.26,0.07,14,8,0.89,9,157,0.65,0.02,0.5,0.65
,,,,,,,,,8225.0,402.0,2237.0,2353.0,web,33,0.16,0.12,3,9,0.97,8,46,0.52,0.23,0.76,0.07
,,,,,,,,,356.0,0.0,212.0,58.0,mobile,28,0.39,0.02,17,7,0.3,11,111,0.47,0.47,0.56,0.28
,,,,,,,,,174.0,0.0,48.0,66.0,web,65,0.22,0.13,4,7,0.28,11,78,0.64,0.57,0.63,0.23
,,,,,,,,,267.0,2.0,122.0,68.0,mobile,20,0.31,0.13,21,4,0.84,11,79,0.56,0.97,0.16,0.06
,,,,,,,,,5090.0,162.0,3232.0,704.0,web,70,0.38,0.14,18,2,0.89,21,159,0.33,0.89,0.39,0.12
,,,,,,,,,1552.0,26.0,178.0,458.0,web,64,0.46,0.06,15,5,0.67,19,116,0.7,0.56,0.69,0.42
,,,,,,,,,2101.0,4.0,514.0,668.0,mobile,32,0.42,0.03,19,8,0.49,11,24,0.6,0.36,0.21,0.56
,,,,,,,,,3042.0,2.0,253.0,1091.0,mobile,23,0.37,0.06,22,7,0.72,19,107,0.47,0.32,0.48,0.31
,,,,,,,,,5824.0,0.0,0.0,2377.0,web,20,0.37,0.05,6,6,0.44,24,56,0.47,0.57,0.59,0.42
,,,,,,,,,622.0,10.0,112.0,223.0,mobile,68,0.48,0.03,15,7,0.39,8,117,0.57,0.72,0.79,0.76
,,,,,,,,,3725.0,186.0,1475.0,568.0,mobile,59,0.22,0.09,7,3,0.59,6,117,0.8,0.48,0.22,0.25
,,,,,,,,,523.0,16.0,37.0,187.0,mobile,51,0.1,0.07,12,5,0.37,17,78,0.55,0.3,0.98,0.03
,,,,,,,,,10735.0,4.0,1258.0,3901.0,mobile,53,0.21,0.13,16,4,0.59,16,61,0.8,0.61,0.97,0.26
,,,,,,,,,962.0,12.0,437.0,183.0,mobile,47,0.19,0.0,9,1,0.97,14,176,0.55,0.56,0.01,0.92
,,,,,,,,,31476.0,196.0,10468.0,7164.0,mobile,50,0.36,0.1,20,7,0.87,23,11,0.8,0.43,0.37,0.02
,,,,,,,,,27.0,0.0,4.0,17.0,mobile,27,0.35,0.11,5,2,0.95,19,54,0.86,0.75,0.07,0.13
,,,,,,,,,2097.0,8.0,320.0,689.0,mobile,58,0.34,0.11,11,4,0.85,21,161,0.31,0.28,0.32,0.07
,,,,,,,,,179.0,0.0,54.0,52.0,mobile,45,0.11,0.13,2,7,0.48,10,120,0.34,0.48,0.61,0.38
,,,,,,,,,20.0,0.0,2.0,12.0,mobile,77,0.39,0.11,22,8,0.85,9,101,0.38,0.94,0.61,0.65
,,,,,,,,,2862.0,0.0,145.0,1138.0,mobile,53,0.23,0.14,16,8,0.94,17,131,0.37,0.72,0.1,0.91
,,,,,,,,,23.0,0.0,2.0,14.0,mobile,73,0.37,0.05,4,4,0.96,18,74,0.57,0.39,0.68,0.79
,,,,,,,,,23870.0,290.0,14237.0,3639.0,mobile,73,0.32,0.08,5,1,0.75,18,125,0.76,0.55,0.85,0.25
,,,,,,,,,388.0,22.0,34.0,132.0,mobile,22,0.24,0.0,7,6,0.37,19,158,0.88,0.41,0.63,0.63
,,,,,,,,,170.0,0.0,8.0,75.0,mobile,78,0.15,0.0,6,6,0.23,20,136,0.55,0.11,0.31,0.66
,,,,,,,,,22.0,0.0,0.0,14.0,mobile,69,0.14,0.04,24,7,0.32,14,76,0.71,0.33,0.0,0.09
,,,,,,,,,2768.0,4.0,84.0,1009.0,mobile,31,0.43,0.02,22,7,0.97,5,103,0.68,0.86,0.65,0.43
,,,,,,,,,6135.0,126.0,1508.0,1418.0,mobile,20,0.47,0.04,10,4,0.57,15,138,0.54,0.46,0.68,0.31
,,,,,,,,,4615.0,504.0,737.0,1152.0,mobile,73,0.36,0.03,14,0,0.88,11,68,0.73,0.58,0.71,0.16
,,,,,,,,,2656.0,2.0,670.0,784.0,mobile,63,0.14,0.0,8,3,0.57,21,124,0.66,0.18,0.04,0.06
,,,,,,,,,2404.0,16.0,679.0,743.0,web,24,0.26,0.14,14,3,0.73,8,125,0.76,0.36,0.52,0.03
,,,,,,,,,315.0,0.0,0.0,132.0,mobile,49,0.39,0.0,14,2,0.22,11,56,0.42,0.93,0.41,0.86
,,,,,,,,,580.0,6.0,40.0,218.0,mobile,49,0.41,0.11,20,7,0.4,7,118,0.52,0.31,0.77,0.33
,,,,,,,,,31.0,0.0,4.0,16.0,mobile,78,0.15,0.02,23,2,0.55,24,27,0.7,0.25,0.72,0.49
,,,,,,,,,10.0,0.0,0.0,5.0,mobile,76,0.1,0.14,3,4,0.7,18,122,0.37,0.06,0.95,0.29
,,,,,,,,,12509.0,162.0,9154.0,1319.0,mobile,36,0.38,0.13,1,1,0.34,22,42,0.76,0.1,0.9,0.17
,,,,,,,,,11311.0,36.0,970.0,4175.0,web,67,0.24,0.1,9,5,0.81,22,152,0.38,0.58,0.56,0.26
,,,,,,,,,37.0,0.0,4.0,23.0,mobile,66,0.2,0.1,9,5,0.49,5,33,0.49,0.66,0.98,0.17
,,,,,,,,,1176.0,330.0,0.0,305.0,mobile,42,0.11,0.0,22,7,0.85,10,45,0.44,0.64,0.15,0.76
,,,,,,,,,3256.0,22.0,190.0,1171.0,mobile,34,0.32,0.15,2,7,0.28,13,69,0.34,0.54,0.01,0.91
,,,,,,,,,5368.0,373.0,1791.0,1314.0,mobile,56,0.44,0.13,16,0,0.74,6,171,0.46,0.49,0.11,0.43
,,,,,,,,,23438.0,1347.0,8435.0,6108.0,web,40,0.48,0.13,8,4,0.43,12,99,0.85,0.07,0.36,0.82
,,,,,,,,,20.0,0.0,0.0,14.0,mobile,33,0.33,0.1,6,1,0.84,24,60,0.32,0.84,0.76,0.43
,,,,,,,,,107.0,0.0,26.0,35.0,mobile,21,0.31,0.05,23,9,0.52,8,177,0.31,0.51,0.38,0.45
,,,,,,,,,581.0,12.0,132.0,190.0,mobile,30,0.13,0.13,13,4,0.73,14,159,0.72,0.13,0.78,0.49
,,,,,,,,,5056.0,46.0,1351.0,1775.0,mobile,70,0.32,0.04,1,9,0.95,5,153,0.52,0.14,0.74,0.82
,,,,,,,,,776.0,46.0,174.0,196.0,mobile,58,0.25,0.08,19,8,0.22,15,113,0.44,0.51,0.79,0.94
,,,,,,,,,26.0,0.0,4.0,14.0,mobile,57,0.34,0.01,15,3,0.21,13,179,0.61,0.24,0.19,0.74
,,,,,,,,,4010.0,48.0,1183.0,1310.0,mobile,79,0.26,0.14,1,7,0.82,23,25,0.46,0.92,0.52,0.89
,,,,,,,,,86.0,6.0,8.0,21.0,web,53,0.2,0.02,10,0,0.72,15,142,0.54,0.5,0.71,0.64
,,,,,,,,,36.0,0.0,0.0,28.0,web,57,0.14,0.03,1,7,0.43,8,143,0.73,0.98,0.28,0.84
,,,,,,,,,831.0,6.0,102.0,291.0,mobile,69,0.23,0.08,12,5,0.6,9,179,0.37,0.73,0.84,0.56
,,,,,,,,,12142.0,107.0,4120.0,3894.0,web,53,0.14,0.11,11,7,0.23,21,39,0.88,0.81,0.78,0.77
,,,,,,,,,22.0,0.0,0.0,12.0,web,37,0.17,0.09,17,5,0.35,22,169,0.33,0.39,0.12,0.71
,,,,,,,,,302.0,24.0,103.0,71.0,mobile,49,0.49,0.03,4,2,0.54,9,156,0.78,0.13,0.22,0.75
,,,,,,,,,1276.0,6.0,152.0,543.0,web,34,0.28,0.0,23,7,0.87,22,60,0.73,0.69,0.24,0.23
,,,,,,,,,389.0,0.0,144.0,96.0,mobile,46,0.31,0.11,7,4,0.58,21,165,0.47,0.41,0.88,0.15
,,,,,,,,,34.0,0.0,10.0,17.0,mobile,70,0.45,0.15,12,9,0.67,7,81,0.37,0.95,0.19,0.65
,,,,,,,,,6413.0,56.0,1038.0,2270.0,web,53,0.5,0.12,13,4,0.9,15,137,0.81,0.19,0.62,0.48
,,,,,,,,,5887.0,52.0,54.0,2459.0,mobile,71,0.33,0.07,5,6,0.45,21,116,0.71,0.63,0.06,0.76
,,,,,,,,,416.0,4.0,32.0,159.0,mobile,76,0.42,0.14,6,5,0.76,12,136,0.47,0.87,0.55,0.15
,,,,,,,,,5832.0,140.0,1939.0,1603.0,mobile,57,0.23,0.06,2,8,0.89,12,138,0.31,0.4,0.14,0.95
,,,,,,,,,15894.0,1292.0,9028.0,2021.0,mobile,52,0.22,0.08,21,6,0.36,6,159,0.86,0.95,0.58,0.7
,,,,,,,,,3364.0,299.0,1314.0,600.0,web,43,0.26,0.07,7,2,0.49,11,103,0.54,0.08,0.37,0.02
,,,,,,,,,780.0,28.0,56.0,300.0,web,34,0.37,0.07,14,4,0.98,24,67,0.41,0.59,0.61,0.58
,,,,,,,,,264.0,131.0,22.0,35.0,mobile,79,0.37,0.12,22,8,0.99,10,22,0.85,0.78,0.39,0.31
,,,,,,,,,24.0,0.0,0.0,16.0,web,49,0.23,0.08,14,9,0.38,24,176,0.52,0.2,0.85,0.27
,,,,,,,,,440.0,2.0,91.0,140.0,mobile,74,0.15,0.05,10,1,0.25,22,36,0.58,0.06,0.76,0.9
,,,,,,,,,21.0,0.0,4.0,0.0,web,61,0.35,0.04,4,0,0.42,11,176,0.72,0.08,0.84,0.84
,,,,,,,,,11004.0,10.0,5346.0,2485.0,mobile,70,0.15,0.01,3,7,0.52,22,130,0.79,0.32,0.22,0.01
,,,,,,,,,1343.0,10.0,1001.0,120.0,mobile,36,0.33,0.09,23,7,0.55,16,149,0.36,0.22,0.15,0.18
,,,,,,,,,6382.0,0.0,1421.0,2147.0,mobile,24,0.38,0.03,14,1,0.7,11,161,0.84,0.22,0.56,0.72
,,,,,,,,,17279.0,10.0,5411.0,4511.0,mobile,48,0.38,0.02,6,7,0.92,11,27,0.86,0.46,0.87,0.85
,,,,,,,,,2082.0,77.0,12.0,843.0,mobile,23,0.4,0.1,23,4,0.46,5,128,0.46,0.08,0.11,0.72
,,,,,,,,,2738.0,6.0,689.0,878.0,mobile,29,0.45,0.1,15,1,0.88,14,24,0.6,1.0,0.23,0.53
,,,,,,,,,2230.0,2.0,405.0,706.0,mobile,75,0.3,0.11,8,6,0.27,14,153,0.81,0.7,0.75,0.98
,,,,,,,,,27.0,0.0,6.0,14.0,mobile,36,0.39,0.08,5,6,0.23,16,106,0.59,0.03,0.47,0.8
,,,,,,,,,1188.0,22.0,350.0,276.0,mobile,29,0.35,0.13,3,2,0.6,7,83,0.59,0.69,0.6,0.47
,,,,,,,,,161.0,0.0,46.0,61.0,web,36,0.17,0.14,3,0,0.25,7,56,0.67,0.79,0.59,0.58
,,,,,,,,,22552.0,12.0,2670.0,9072.0,mobile,79,0.11,0.12,13,3,0.51,17,161,0.76,0.19,0.41,0.04
,,,,,,,,,30.0,0.0,2.0,19.0,web,39,0.21,0.1,2,1,0.92,17,28,0.7,0.84,0.71,0.96
,,,,,,,,,3238.0,46.0,335.0,1235.0,mobile,43,0.28,0.05,24,3,0.39,10,100,0.68,0.61,0.85,0.36
,,,,,,,,,2731.0,36.0,460.0,1062.0,mobile,24,0.35,0.15,1,7,0.76,7,178,0.52,0.82,0.91,0.66
,,,,,,,,,8.0,0.0,2.0,4.0,mobile,53,0.44,0.04,12,1,0.44,19,40,0.68,0.72,0.05,0.67
,,,,,,,,,911.0,46.0,224.0,266.0,mobile,25,0.18,0.03,8,0,0.24,13,25,0.36,0.7,0.55,0.06
,,,,,,,,,310.0,0.0,40.0,117.0,mobile,72,0.15,0.07,19,2,0.65,10,160,0.55,0.16,0.04,0.27
,,,,,,,,,15156.0,142.0,443.0,5523.0,mobile,21,0.49,0.01,9,9,0.87,10,87,0.41,0.32,0.9,0.66
,,,,,,,,,39.0,0.0,2.0,23.0,mobile,32,0.14,0.15,14,6,0.53,12,32,0.62,0.52,0.43,0.91
,,,,,,,,,858.0,0.0,419.0,186.0,mobile,62,0.29,0.09,18,5,0.69,15,50,0.46,0.11,0.9,0.78
,,,,,,,,,4066.0,588.0,795.0,943.0,mobile,62,0.33,0.08,10,5,0.92,23,155,0.6,0.48,0.19,0.58
,,,,,,,,,3552.0,309.0,30.0,1689.0,mobile,67,0.32,0.1,9,6,0.83,20,173,0.77,0.45,0.16,0.23
,,,,,,,,,427.0,30.0,104.0,139.0,web,30,0.13,0.07,6,7,0.36,13,21,0.56,0.23,0.91,0.95
,,,,,,,,,24.0,0.0,6.0,10.0,mobile,70,0.12,0.0,1,2,0.79,15,84,0.43,0.2,0.94,0.4
,,,,,,,,,927.0,52.0,218.0,222.0,mobile,66,0.14,0.09,5,2,0.6,20,94,0.43,0.25,0.77,0.15
,,,,,,,,,8132.0,2.0,383.0,3088.0,mobile,76,0.33,0.11,10,9,0.8,10,169,0.84,0.61,0.22,0.02
,,,,,,,,,26.0,0.0,8.0,12.0,web,42,0.32,0.06,13,7,0.6,21,80,0.77,0.41,0.17,0.95
,,,,,,,,,6015.0,3.0,1977.0,2375.0,web,74,0.19,0.11,22,6,0.3,20,173,0.32,0.41,0.75,0.78
,,,,,,,,,1835.0,134.0,553.0,416.0,mobile,35,0.36,0.03,23,9,0.66,24,177,0.87,0.18,0.63,0.22
